spring-boot,"spring-boot",adopt,languages-and-frameworks,"microservices,spring-boot,spring-framework"
spring-batch,"spring-batch",adopt,languages-and-frameworks,"spring-boot,spring-framework,spring-batch"
spring-integration,"spring-integration",adopt,languages-and-frameworks,"spring-boot,spring-framework,spring-batch,spring-integration"
spring-ws,"spring-boot",adopt,languages-and-frameworks,"spring-boot,spring-ws"
spring-session,"spring-session",adopt,languages-and-frameworks,"microservices,spring-boot,spring-session"
spring-reactive,"spring-reactive",adopt,languages-and-frameworks,"microservices,spring-boot,reactive"
resilience4j,"resilience4j",adopt,languages-and-frameworks,"microservices,resilience,resilience4j"
opentelemetry,"resilience4j",adopt,languages-and-frameworks,"microservices,opentelemetry,telemetry"
spring-cloud-function,"spring-cloud-function",adopt,languages-and-frameworks,"microservices,spring-boot,spring-cloud-function"
spring-security,"spring-security",adopt,languages-and-frameworks,"microservices,spring-boot,spring-security"
spring-modulith,"spring-modulith",adopt,languages-and-frameworks,"microservices,spring-boot,spring-modulith"
spring-statemachine,"spring-statemachine",adopt,languages-and-frameworks,"microservices,spring-boot,spring-statemachine"
openrewrite,"openrewrite",adopt,tools,"microservices,refactoring"
